city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Hillsboro,OR,97123,34265-SW-Tualatin-Valley-Hwy-UNIT-64,"Residential, manufactured home",Built in 1983,"Forced air, wall furnace",Window unit(s),Carport,0,$750 monthly HOA fee,$122 price/sqft,2.5% buyers agency fee,139900
Seattle,WA,98134,1111-S-Atlantic-St-UNIT-408,Condominium,Built in 1980,"Fireplace(s), radiant","Insert, wall unit(s)",1 Carport space,0,$754 monthly HOA fee,$435 price/sqft,2.5% buyers agency fee,499950
Seattle,WA,98101,1221-Minor-Ave-APT-703,Condominium,Built in 1960,Radiant,Radiant,1 Garage space,0,$764 monthly HOA fee,$647 price/sqft,2.5% buyers agency fee,574990
Vancouver,WA,98662,5110-NE-76th-Ave,Residential,Built in 1996,"Forced air, fireplace(s)",Central air,1 Attached garage space,$83 monthly HOA fee,"3,484 sqft",$337 price/sqft,2.25% buyers agency fee,365000
Tacoma,WA,98407,4907-Main-St-102,Condominium,Built in 2022,"Fireplace(s), forced air, heat pump, radiant",Central air,2 Garage spaces,0,$774 monthly HOA fee,$815 price/sqft,2.5% buyers agency fee,1350000
Vancouver,WA,98683,17934-SE-41st-Loop,"Residential, townhouse",Built in 2000,"Forced air, fireplace(s)",Central air,1 Attached garage space,$115 monthly HOA fee,"3,049 sqft",$341 price/sqft,2.25% buyers agency fee,569900
Milwaukie,OR,97222,12600-SE-Freeman-Way-UNIT-12,"Residential, condominium",Built in 1979,Baseboard,No data,1 Garage space,0,$777 monthly HOA fee,$287 price/sqft,3% buyers agency fee,259000
Vancouver,WA,98665,7510-NE-34th-Ave-D8,"Residential, condominium, townhouse",Built in 2005,Forced air,No data,1 Attached garage space,$337 monthly HOA fee,No data,$234 price/sqft,2.25% buyers agency fee,315000
Vancouver,WA,98661,1560-SE-Cutter-Ln-1560A,"Residential, townhouse",Built in 2001,"Wall furnace, fireplace(s)",Wall unit(s),1 Attached garage space,$540 monthly HOA fee,No data,$321 price/sqft,2.25% buyers agency fee,500000
Vancouver,WA,98685,1903-NW-117th-Way,"Residential, single family residence",Built in 2018,"Forced air 95 plus, fireplace(s)",Heat pump,3 Attached garage spaces,$252 quarterly HOA fee,"6,098 sqft",$320 price/sqft,2.25% buyers agency fee,750000
Seattle,WA,98199,2312-W-Boston-St-APT-103,Condominium,Built in 2000,"Fireplace(s), 90%+ high efficiency",None,1 Garage space,0,$778 monthly HOA fee,$642 price/sqft,2.5% buyers agency fee,715000
Seattle,WA,98112,2315-43rd-Ave-E-APT-301,Condominium,Built in 2007,"Fireplace(s), radiant",None,2 Garage spaces,0,$825 monthly HOA fee,"$1,237 price/sqft",2% buyers agency fee,2950000
Seattle,WA,98121,3104-Western-Ave-UNIT-520,Condominium,Built in 2008,Forced air,"Central air, forced air",2 Garage spaces,0,$839 monthly HOA fee,$646 price/sqft,3% buyers agency fee,725000
Tacoma,WA,98402,1705-Dock-St-UNIT-549,Condominium,Built in 2002,"Fireplace(s), forced air",Central air,2 Garage spaces,0,$866 monthly HOA fee,$480 price/sqft,3% buyers agency fee,430000
Oswego,OR,97034,16250-Pacific-Hwy-UNIT-71-Lake,"Residential, condominium",Built in 1965,"Forced air, heat pump, zoned, fireplace(s)",Heat pump,Carport,0,$872 monthly HOA fee,$264 price/sqft,2.5% buyers agency fee,344999
Burien,WA,98146,13225-12th-Ave-SW-APT-131,Condominium,Built in 1982,"Fireplace(s), baseboard",None,1 Parking space,0,$907 monthly HOA fee,$233 price/sqft,3% buyers agency fee,449000
Eugene,OR,97408,1475-Green-Acres-Rd-SPACE-34,"Residential, manufactured home",Built in 1971,Ductless,Other,Attached garage,0,$930 monthly HOA fee,$48 price/sqft,$2.5 buyers agency fee,59900
Tacoma,WA,98407,4907-Main-St-418,Condominium,Built in 2021,"Fireplace(s), forced air, heat pump","Central air, forced air, heat pump",3 Garage spaces,0,$949 monthly HOA fee,$702 price/sqft,2.5% buyers agency fee,1400000
Portland,OR,97205,1221-SW-10th-Ave-UNIT-606,"Residential, condominium",Built in 2006,Heat pump,Heat pump,1 Attached garage space,0,$957 monthly HOA fee,$415 price/sqft,2.5% buyers agency fee,650000
Oswego,OR,97034,21-D-Ave-2-Lake,"Residential, condominium",Built in 2023,Forced air 95 plus,Central air,1 Attached garage space,0,$974 monthly HOA fee,$965 price/sqft,2.7% buyers agency fee,1960847
Portland,OR,97239,5952-S-Riverpoint-Ln,"Residential, condominium",Built in 1975,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,$998 monthly HOA fee,$319 price/sqft,2.5% buyers agency fee,895000
Milwaukie,OR,97222,13523-SE-Maple-Ln,"Residential, single family residence",Built in 1977,"Forced air, fireplace(s)",Wall unit(s),2 Attached garage spaces,0,0.25 Acres,$359 price/sqft,2.25% buyers agency fee,689900
Vancouver,WA,98662,2817-NE-Whitman-Ave,"Residential, single family residence",Built in 1961,"Baseboard, forced air, fireplace(s)",No data,2 Attached garage spaces,0,0.25 Acres,$262 price/sqft,2.25% buyers agency fee,559000
